,code,fundName,invType,purchaseDate,type,units
0,142388,Edelweiss Recently Listed IPO Fund Direct Plan Growth,L,2021-06-30 00:00:00,,5399.661999999999
1,120594,ICICI Prudential Technology Fund - Direct Plan -  Growth,L,2021-02-26 00:00:00,,367.5
2,118557,Franklin Build India Fund - Direct - Growth,L,2021-06-24 00:00:00,,1282.182
3,102765,SBI Focused Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),L,2019-12-13 00:00:00,,2179.0
4,120578,SBI TECHNOLOGY OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,L,2020-07-07 00:00:00,,402.9
5,140228,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,L,2021-08-31 00:00:00,,1144.5
6,119598,SBI BLUE CHIP FUND-DIRECT PLAN -GROWTH,L,2021-06-26 00:00:00,,1131.26
7,119700,SBI INFRASTRUCTURE FUND -  DIRECT PLAN - GROWTH,L,2021-06-26 00:00:00,,1803.1
8,103883,SBI Long Term Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),L,2019-12-20 00:00:00,,1397.6
9,119065,HDFC Index Fund-Sensex Plan - Direct Plan,L,2020-02-03 00:00:00,,139.2
10,119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,L,2020-01-22 00:00:00,,165.0
11,145206,Tata Small Cap Fund-Direct Plan-Growth,L,2021-05-31 00:00:00,,2404.56
12,120468,Axis Focused 25 Fund - Direct Plan - Growth Option,L,2020-03-12 00:00:00,,1002.67
13,135793,Tata Banking And Financial Services Fund-Direct Plan-Growth,L,2021-03-24 00:00:00,,2693.5
14,125354,Axis Small Cap Fund - Direct Plan - Growth,L,2020-02-25 00:00:00,,64.05
15,119788,SBI GOLD FUND- DIRECT PLAN - GROWTH,L,2020-11-26 00:00:00,,3824.4
16,135810,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,L,2021-04-20 00:00:00,,2296.37
17,118724,Nippon India Consumption Fund - Direct Plan Growth Plan - Growth Option,L,2021-06-30 00:00:00,,376.98
18,148634,Axis Special Situations Fund - Direct Plan - Growth Option,L,2021-07-29 00:00:00,,3330.39
19,140175,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option,L,2021-08-31 00:00:00,,710.305
20,141588,Axis Corporate Debt Fund - Direct Plan Growth,L,2021-06-03 00:00:00,,2909.18
21,120685,ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan -  Growth,L,2021-01-06 00:00:00,,2335.7
22,133860,SBI Banking & Financial Services Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),L,2019-11-28 00:00:00,,1175.055
23,119609,SBI EQUITY HYBRID FUND - DIRECT PLAN - Growth,L,2021-06-25 00:00:00,,65.413
24,120592,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Growth,L,2019-12-04 00:00:00,,12.083
25,120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth,L,2020-07-28 00:00:00,,1550.93
26,129309,ICICI Prudential Dividend Yield Equity Fund Direct Plan IDCW Option,L,2020-08-14 00:00:00,,1886.7
27,148947,Tata Dividend Yield Fund-Direct Plan-Growth,L,2021-05-17 00:00:00,,3999.8
28,119711,SBI MAGNUM GLOBAL FUND - DIRECT PLAN -GROWTH,L,2021-07-16 00:00:00,,176.856
29,148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,L,2021-05-03 00:00:00,,500.0
30,118537,Franklin India Technology Fund - Direct - Growth,L,2021-08-18 00:00:00,,30.9
31,140243,Edelweiss Greater China Equity Off-shore Fund - Direct Plan - Growth Option,L,2021-08-02 00:00:00,,533.61
32,119065,HDFC Index Fund-Sensex Plan - Direct Plan,S,2021-08-30 00:00:00,,19.264
0,119065,HDFC Index Fund-Sensex Plan - Direct Plan,,14-09-2021,A,9.404957729417484
